timestamp,open,high,low,close
2026-02-02,19901.1,19951.0,19771.9,19797.1
2026-02-03,19797.1,19838.2,19743.3,19808.6
2026-02-04,19808.6,19859.5,19771.8,19800.3
2026-02-05,19801.2,19896.4,19786.9,19820.7
2026-02-06,19822.4,19945.4,19800.5,19929.4
2026-02-09,19929.4,20037.4,19903.0,20016.4
2026-02-10,20013.8,20070.7,19964.2,19977.7
2026-02-11,19977.7,20014.3,19854.9,19920.4
2026-02-12,19919.5,19994.8,19911.2,19960.2
2026-02-13,19960.2,20003.4,19937.7,19974.7
2026-02-16,19974.7,19989.8,19936.8,19945.2
2026-02-17,19945.2,19953.7,19867.8,19952.0
2026-02-18,19951.1,20012.9,19888.0,19890.6
2026-02-19,19890.6,19974.5,19814.6,19867.8
2026-02-20,19867.8,19940.0,19804.6,19869.5
2026-02-23,19874.6,19961.4,19769.4,19787.9
2026-02-24,19787.9,19841.3,19763.5,19801.4
2026-02-25,19802.2,19854.0,19757.6,19823.9
2026-02-26,19823.1,19858.8,19727.3,19766.7
2026-02-27,19766.7,19828.9,19752.5,19806.2
2026-03-02,19766.8,19861.1,19679.0,19708.5
2026-03-03,19706.8,19743.3,19433.0,19576.2
2026-03-04,19572.0,19681.2,19508.8,19643.2
2026-03-05,19644.0,19669.1,19511.6,19595.2
2026-03-06,19597.7,19667.7,19517.7,19641.1
2026-03-09,19556.6,19715.6,19451.7,19712.2
2026-03-10,19713.1,19729.2,19560.4,19572.4
2026-03-11,19574.1,19646.0,19502.6,19513.5
2026-03-12,19514.4,19536.7,19439.5,19442.9
2026-03-13,19442.1,19495.8,19330.2,19339.6
