timestamp,open,high,low,close,volume,amount
2024-09-02,17073.1,17198.6,17064.6,17182.2,0.0,0.0
2024-09-03,17184.6,17243.5,17117.9,17138.7,0.0,0.0
2024-09-04,17145.0,17179.1,17084.4,17143.8,0.0,0.0
2024-09-05,17148.6,17156.4,17053.8,17103.8,0.0,0.0
2024-09-06,17106.6,17140.4,17001.4,17023.5,0.0,0.0
2024-09-09,17026.7,17162.8,17025.2,17047.5,0.0,0.0
2024-09-10,17054.6,17091.9,17018.2,17018.8,0.0,0.0
2024-09-11,17024.4,17058.3,16943.1,16951.4,0.0,0.0
2024-09-12,16958.5,17088.7,16948.5,17081.7,0.0,0.0
2024-09-13,17086.4,17143.6,17049.2,17051.5,0.0,0.0
2024-09-16,17060.1,17151.8,17054.0,17137.7,0.0,0.0
2024-09-17,17144.8,17146.4,17038.7,17036.2,0.0,0.0
2024-09-18,17044.1,17159.1,17015.7,17043.9,0.0,0.0
2024-09-19,17050.2,17061.0,16935.2,16998.2,0.0,0.0
2024-09-20,17005.3,17009.1,16812.8,16904.8,0.0,0.0
2024-09-23,16911.2,16979.4,16846.2,16884.7,0.0,0.0
2024-09-24,16891.0,16978.3,16850.8,16971.2,0.0,0.0
2024-09-25,16976.1,16998.8,16793.5,16803.8,0.0,0.0
2024-09-26,16810.8,16968.9,16804.0,16942.8,0.0,0.0
2024-09-27,16949.2,16953.7,16826.6,16878.5,0.0,0.0
2024-09-30,16878.0,16986.1,16825.8,16851.3,0.0,0.0
2024-10-01,16858.4,16949.8,16788.4,16817.8,0.0,0.0
2024-10-02,16822.6,16921.3,16815.1,16854.7,0.0,0.0
2024-10-03,16860.2,17038.3,16844.9,17002.8,0.0,0.0
2024-10-04,17011.3,17136.2,16957.6,16990.8,0.0,0.0
2024-10-07,16996.3,17227.6,16977.0,17201.8,0.0,0.0
2024-10-08,17210.4,17244.1,17148.5,17172.7,0.0,0.0
2024-10-09,17179.0,17181.3,17082.8,17081.3,0.0,0.0
2024-10-10,17086.7,17161.8,17074.1,17124.2,0.0,0.0
2024-10-11,17126.5,17141.4,17020.0,17034.4,0.0,0.0
2024-10-14,17030.9,17055.5,16942.5,16968.9,0.0,0.0
2024-10-15,16974.4,17008.7,16934.3,16961.2,0.0,0.0
2024-10-16,16968.2,16976.7,16833.8,16840.0,0.0,0.0
2024-10-17,16847.0,16900.0,16751.6,16777.2,0.0,0.0
2024-10-18,16783.4,16819.4,16748.5,16798.8,0.0,0.0
2024-10-21,16796.5,16834.2,16751.6,16752.4,0.0,0.0
